negativeId,year,repository,place,prov,region,lat,lon
6304,1925,Palazzo pubblico,Siena,SI,TOSCANA,,
6305,1925,Palazzo pubblico,Siena,SI,TOSCANA,,
6306,1925,Palazzo pubblico,Siena,SI,TOSCANA,,
6307,1925,Palazzo pubblico,Siena,SI,TOSCANA,,
6308,1925,Palazzo pubblico,Siena,SI,TOSCANA,,
6309,1925,Palazzo pubblico,Siena,SI,TOSCANA,,
6310,1925,Palazzo pubblico,Siena,SI,TOSCANA,,
6311,1925,Palazzo pubblico,Siena,SI,TOSCANA,,
6312,1925,Palazzo Pubblico,Siena,SI,TOSCANA,,
6313,1925,"Palazzo Pubblico, Sala della Pace",Siena,SI,TOSCANA,,
6314,1925,"Palazzo Pubblico, Sala della Pace",Siena,SI,TOSCANA,,
6315,1925,"Palazzo Pubblico, Sala della Pace",Siena,SI,TOSCANA,,
6316,1925,Palazzo Pubblico,Siena,SI,TOSCANA,,
6317,1925,Opera del Duomo,Siena,SI,TOSCANA,,
6318,1925,Opera del Duomo,Siena,SI,TOSCANA,,
6319,1925,S. Giovanni,Siena,SI,TOSCANA,,
6320,1925,S. Giovanni,Siena,SI,TOSCANA,,
6324,1925,S. Pietro alle Scala,Siena,SI,TOSCANA,,
6326,1925,S. Girolamo,Siena,SI,TOSCANA,,
6327,1925,S. Girolamo,Siena,SI,TOSCANA,,
6328,1925,S. Girolamo,Siena,SI,TOSCANA,,
6329,1925,S. Pietro Ovile,Siena,SI,TOSCANA,,
6330,1925,S. Pietro Ovile,Siena,SI,TOSCANA,,
6331,1925,S. Donato,Siena,SI,TOSCANA,,
6332,1925,Chiesa di Sant'Andrea,Montécchio di Sopra,PI,TOSCANA,,
6333,1925,S. Donato,Ginestreto (SI),SI,TOSCANA,,
6334,1925,S. Bartolommeo a Monistero,Siena,SI,TOSCANA,,
6335,1925,Sto. Stefano,Cerreto Selva,SI,TOSCANA,,
6336,1925,S. Giovanni Battista,Rosia,SI,TOSCANA,,
6337,1925,S. Giovanni Battista,Rosia,SI,TOSCANA,,
6339,1925,Pievi de San Galgano,Montesiepi (Chiusdino),SI,TOSCANA,,
6340,1925,Pievi de San Galgano,Montesiepi (Chiusdino),SI,TOSCANA,,
6341,1925,Pievi de San Galgano,Montesiepi (Chiusdino),SI,TOSCANA,,
6342,1925,Pievi de San Galgano,Montesiepi (Chiusdino),SI,TOSCANA,,
6343,1925,Pievi de San Galgano,Montesiepi (Chiusdino),SI,TOSCANA,,
6344,1925,Pievi de San Galgano,Montesiepi (Chiusdino),SI,TOSCANA,,
6345,1925,Pievi de San Galgano,Montesiepi (Chiusdino),SI,TOSCANA,,
6346,1925,Pievi de San Galgano,Montesiepi (Chiusdino),SI,TOSCANA,,
6347,1925,Pievi de San Galgano,Montesiepi (Chiusdino),SI,TOSCANA,,
6348,1925,Pievi de San Galgano,Montesiepi (Chiusdino),SI,TOSCANA,,
6349,1925,Pievi de San Galgano,Montesiepi (Chiusdino),SI,TOSCANA,,
6350,1925,Pievi de San Galgano,Montesiepi (Chiusdino),SI,TOSCANA,,
6351,1925,Pievi de San Galgano,Montesiepi (Chiusdino),SI,TOSCANA,,
6352,1925,Pievi de San Galgano,Montesiepi (Chiusdino),SI,TOSCANA,,
6353,1925,"Sant'Agostino, Monticiano",Monticiano,SI,TOSCANA,,
6354,1925,Sant'Agostino,Monticiano,SI,TOSCANA,,
6355,1925,Sant'Agostino,Monticiano,SI,TOSCANA,,
6359,1925,Chiesa di S. Agostino,Monticiano,SI,TOSCANA,,
6360,1925,Chiesa di S. Agostino,Monticiano,SI,TOSCANA,,
6361,1925,Sant'Agostino,Monticiano,SI,TOSCANA,,
6362,1925,Palazzo Municipale,Montalcino,SI,TOSCANA,,
6363,1925,Museo Civico e Diocesano d'Arte Sacra,Montalcino,SI,TOSCANA,,
6365,1925,Palazzo Municipale,Montalcino,SI,TOSCANA,,
6366,1925,Pinacoteca,Montalcino,SI,TOSCANA,,
6367,1925,Palazzo Municipale,Montalcino,SI,TOSCANA,,
6369,1925,Museo Diocesano,Montalcino,SI,TOSCANA,,
6371,1925,Palazzo Municipale,Montalcino,SI,TOSCANA,,
6372,1925,Osservanza,Montalcino,SI,TOSCANA,,
6373,1925,Museo Diocesano,Montalcino,SI,TOSCANA,,
6374,1925,Museo Civico e Diocesano d'Arte Sacra,Montalcino,SI,TOSCANA,,
6375,1925,Signor Tamanti Collection,Monticiano,SI,TOSCANA,,
6376,1925,Museo Civico e Diocesano d'Arte Sacra,Montalcino,SI,TOSCANA,,
6377,1925,Abbazia di Sant'Antimo,"Castelnuovo dell'Abate, Montalcino",SI,TOSCANA,,
6378,1925,Compagnia della Croce,Montalcino,SI,TOSCANA,,
6408,1925,"Sta. Maria Maggiore, Florence",Firenze,FI,TOSCANA,,
6413,1925,Accademia di Belle Arti,Firenze,FI,TOSCANA,,
6414,1925,Accademia di belle arti,Firenze,FI,TOSCANA,,
6415,1925,Accademia di belle arti,Firenze,FI,TOSCANA,,
6416,1925,Accademia di Belle Arti,Firenze,FI,TOSCANA,,
6418,1925,Opera del Duomo,Firenze,FI,TOSCANA,,
6501,1926,Collegiata,Empoli,FI,TOSCANA,,
6502,1925,Collegiata di S. Andrea,Empoli,FI,TOSCANA,,
6503,1925,,Empoli,FI,TOSCANA,,
6505,1925,Collegiata Museum,Empoli,FI,TOSCANA,,
6507,1925,Collegiata,Empoli,FI,TOSCANA,,
6508,1925,Collegiata,Empoli,FI,TOSCANA,,
6512,1925,Collegiata,Empoli,FI,TOSCANA,,
6513,1925,Collegiata Museum,Empoli,FI,TOSCANA,,
6514,1925,Collegiata,Empoli,FI,TOSCANA,,
6516,1925,Collegiata,Empoli,FI,TOSCANA,,
6519,1925,Collegiata,Empoli,FI,TOSCANA,,
6520,1925,Collegiata,Empoli,FI,TOSCANA,,
6521,1925,Museo Civico,Pisa,PI,TOSCANA,,
6522,1925,Museo civico,Pisa,PI,TOSCANA,,
6523,1925,"Museo civico, Pisa",Pisa,PI,TOSCANA,,
6524,1925,"Museo civico, Pisa",Pisa,PI,TOSCANA,,
6525,1925,"Museo civico, Pisa",Pisa,PI,TOSCANA,,
6526,1925,Museo civico,Pisa,PI,TOSCANA,,
6527,1925,"Museo civico, Pisa",Pisa,PI,TOSCANA,,
6528,1925,Museo Civico,Pisa,PI,TOSCANA,,
6529,1925,"Museo Civico, Pisa",Pisa,PI,TOSCANA,,
6530,1925,"Museo Civico, Pisa",Pisa,PI,TOSCANA,,
6531,1925,"Museo Civico, Pisa",Pisa,PI,TOSCANA,,
6532,1925,"Museo civico, Pisa",Pisa,PI,TOSCANA,,
6535,1925,Museo civico,Pisa,PI,TOSCANA,,
6536,1925,Museo civico,Pisa,PI,TOSCANA,,
6537,1925,Museo civico,Pisa,PI,TOSCANA,,
6541,1925,"Museo civico, Pisa",Pisa,PI,TOSCANA,,
6542,1925,"Museo civico, Pisa",Pisa,PI,TOSCANA,,
6543,1925,Museo Civico,Pisa,PI,TOSCANA,,
6544,1925,Museo Civico,Pisa,PI,TOSCANA,,
6545,1925,Museo civico,Pisa,PI,TOSCANA,,
6546,1925,"Museo civico, Pisa",Pisa,PI,TOSCANA,,
6547,1925,Museo civico,Pisa,PI,TOSCANA,,
6549,1925,Museo civico,Pisa,PI,TOSCANA,,
6550,1925,Museo civico,Pisa,PI,TOSCANA,,
6552,1925,Museo civico,Pisa,PI,TOSCANA,,
6553,1925,Museo Civico,Pisa,PI,TOSCANA,,
6554,1925,Museo Civico,Pisa,PI,TOSCANA,,
6556,1925,"Museo Civico, Pisa",Pisa,PI,TOSCANA,,
6557,1925,Museo civico,Pisa,PI,TOSCANA,,
6558,1925,San Michele in Borgo,Pisa,PI,TOSCANA,,
6560,1925,Duomo,Pisa,PI,TOSCANA,,
6561,1925,Duomo,Pisa,PI,TOSCANA,,
6565,1925,"Museo civico, Pisa",Pisa,PI,TOSCANA,,
6566,1925,"Museo civico, Pisa",Pisa,PI,TOSCANA,,
6567,1925,"Museo Civico, Pisa",Pisa,PI,TOSCANA,,
6568,1925,Museo Civico,Pisa,PI,TOSCANA,,
6571,1925,Museo Civico,Pisa,PI,TOSCANA,,
6572,1925,Duomo,Montepulciano,SI,TOSCANA,,
